gen,storage,condition,price,model,is_pro,state,state_full,gen_group,type,condition_group
14.0,256.0,Used,589.99,iPhone 14 Pro Max,True,AZ,Arizona,Modern (13-14),Pro,Second-hand
14.0,256.0,Used,649.99,iPhone 14 Pro Max,True,AZ,Arizona,Modern (13-14),Pro,Second-hand
14.0,128.0,Used,409.87,iPhone 14 Plus,False,AZ,Arizona,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,249.0,iPhone 13,False,MO,Missouri,Modern (13-14),Standard,Second-hand
13.0,128.0,Open Box,321.99,iPhone 13,False,CA,California,Modern (13-14),Standard,Open Box
15.0,512.0,Very Good - Refurbished,384.03,iPhone 15,False,TX,Texas,Latest (15+),Standard,Refurbished
15.0,512.0,Excellent - Refurbished,412.86,iPhone 15,False,TX,Texas,Latest (15+),Standard,Refurbished
12.0,64.0,Used,199.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,Second-hand
14.0,128.0,Open Box,314.99,iPhone 14,False,CA,California,Modern (13-14),Standard,Open Box
14.0,128.0,Open Box,339.99,iPhone 14,False,CA,California,Modern (13-14),Standard,Open Box
16.0,128.0,New,599.0,iPhone 16,False,MA,Massachusetts,Latest (15+),Standard,New
13.0,128.0,New,321.88,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,New
16.0,128.0,New,584.0,iPhone 16,False,NC,North Carolina,Latest (15+),Standard,New
13.0,128.0,Open Box,326.99,iPhone 13,False,CA,California,Modern (13-14),Standard,Open Box
12.0,64.0,Open Box,234.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,Open Box
12.0,256.0,Open Box,241.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,Open Box
12.0,256.0,Good - Refurbished,304.99,iPhone 12 Pro Max,True,TX,Texas,Mid-Gen (11-12),Pro,Refurbished
12.0,64.0,Open Box,228.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,Open Box
14.0,128.0,Used,314.99,iPhone 14,False,CA,California,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,300.0,iPhone 14,False,GA,Georgia,Modern (13-14),Standard,Second-hand
14.0,512.0,Used,399.99,iPhone 14,False,CA,California,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,272.99,iPhone 14 Plus,False,MD,Maryland,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,229.99,iPhone 14,False,MD,Maryland,Modern (13-14),Standard,Second-hand
17.0,256.0,Excellent - Refurbished,743.81,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
17.0,256.0,Very Good - Refurbished,669.86,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
17.0,256.0,Good - Refurbished,661.03,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
17.0,512.0,Very Good - Refurbished,931.96,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
17.0,512.0,Good - Refurbished,999.03,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
13.0,128.0,New,321.88,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,321.99,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,New
13.0,128.0,New,321.99,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,New
13.0,512.0,New,321.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,321.99,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,New
17.0,256.0,Open Box,769.95,iPhone 17,False,PA,Pennsylvania,Latest (15+),Standard,Open Box
12.0,128.0,Open Box,231.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,Open Box
13.0,128.0,Open Box,268.87,iPhone 13,False,AZ,Arizona,Modern (13-14),Standard,Open Box
13.0,256.0,New,321.99,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,New
13.0,128.0,New,321.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,Used,107.5,iPhone 13,False,IL,Illinois,Modern (13-14),Standard,Second-hand
14.0,256.0,Used,350.0,iPhone 14,False,TX,Texas,Modern (13-14),Standard,Second-hand
17.0,256.0,New,849.95,iPhone 17,False,PA,Pennsylvania,Latest (15+),Standard,New
16.0,128.0,New,639.95,iPhone 16,False,PA,Pennsylvania,Latest (15+),Standard,New
17.0,256.0,New,779.95,iPhone 17,False,FL,Florida,Latest (15+),Standard,New
16.0,128.0,New,669.95,iPhone 16,False,TN,Tennessee,Latest (15+),Standard,New
16.0,128.0,Open Box,604.99,iPhone 16,False,VA,Virginia,Latest (15+),Standard,Open Box
14.0,128.0,Used,183.5,iPhone 14,False,CA,California,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,217.5,iPhone 14,False,CA,California,Modern (13-14),Standard,Second-hand
13.0,128.0,Used,169.99,iPhone 13 Mini,False,TN,Tennessee,Modern (13-14),Standard,Second-hand
16.0,128.0,Open Box,600.0,iPhone 16,False,MD,Maryland,Latest (15+),Standard,Open Box
13.0,128.0,Very Good - Refurbished,319.0,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
13.0,128.0,Good - Refurbished,299.0,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
12.0,128.0,Excellent - Refurbished,419.88,iPhone 12,False,MI,Michigan,Mid-Gen (11-12),Standard,Refurbished
12.0,256.0,Excellent - Refurbished,369.48,iPhone 12 Pro Max,True,MI,Michigan,Mid-Gen (11-12),Pro,Refurbished
13.0,128.0,New,321.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,321.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,321.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,224.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
13.0,128.0,New,321.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,512.0,New,314.11,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,New,389.01,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
15.0,128.0,Excellent - Refurbished,369.48,iPhone 15,False,MI,Michigan,Latest (15+),Standard,Refurbished
13.0,128.0,Good - Refurbished,249.0,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
14.0,256.0,Used,268.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Second-hand
14.0,128.0,New,675.95,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,For Parts Or Not Working,210.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
17.0,256.0,Very Good - Refurbished,849.95,iPhone 17,False,MD,Maryland,Latest (15+),Standard,Refurbished
14.0,128.0,Used,599.0,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,128.0,For Parts Or Not Working,209.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,210.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,512.0,New,675.95,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,For Parts Or Not Working,203.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,230.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
12.0,128.0,Used,248.99,iPhone 12 Pro Max,True,OH,Ohio,Mid-Gen (11-12),Pro,Second-hand
14.0,128.0,For Parts Or Not Working,192.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,222.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,Used,298.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Second-hand
13.0,128.0,New,321.88,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,For Parts Or Not Working,194.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
13.0,512.0,New,432.13,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,Open Box,249.48,iPhone 13,False,MI,Michigan,Modern (13-14),Standard,Open Box
14.0,128.0,For Parts Or Not Working,190.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,216.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,213.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,216.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
13.0,128.0,Used,240.0,iPhone 13,False,AZ,Arizona,Modern (13-14),Standard,Second-hand
14.0,128.0,For Parts Or Not Working,198.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
12.0,128.0,Used,199.0,iPhone 12,False,AZ,Arizona,Mid-Gen (11-12),Standard,Second-hand
13.0,128.0,Very Good - Refurbished,269.0,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
14.0,128.0,New,675.95,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
12.0,128.0,For Parts Or Not Working,179.99,iPhone 12 Pro Max,True,FL,Florida,Mid-Gen (11-12),Pro,Damaged
16.0,128.0,Open Box,235.5,iPhone 16,False,MD,Maryland,Latest (15+),Standard,Open Box
14.0,512.0,New,389.01,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,New,389.01,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,New,389.01,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,Open Box,290.0,iPhone 13,False,NY,New York,Modern (13-14),Standard,Open Box
13.0,256.0,New,321.99,iPhone 13 Mini,False,NY,New York,Modern (13-14),Standard,New
17.0,256.0,New,610.0,iPhone 17 Pro Max,True,TX,Texas,Latest (15+),Pro,New
14.0,128.0,New,675.95,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,For Parts Or Not Working,149.99,iPhone 14,False,TX,Texas,Modern (13-14),Standard,Damaged
14.0,128.0,Open Box,363.99,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,Open Box
13.0,256.0,Used,1000.0,iPhone 13,False,CO,Colorado,Modern (13-14),Standard,Second-hand
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,Used,539.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,256.0,For Parts Or Not Working,235.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,220.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,230.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,220.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,222.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,216.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,Used,613.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,128.0,Used,332.99,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,Second-hand
14.0,1024.0,Used,638.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,256.0,Used,567.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,256.0,For Parts Or Not Working,226.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,210.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
12.0,128.0,Used,379.0,iPhone 12 Pro Max,True,PA,Pennsylvania,Mid-Gen (11-12),Pro,Second-hand
14.0,128.0,For Parts Or Not Working,198.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,Used,298.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Second-hand
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,Good - Refurbished,569.0,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,Refurbished
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,220.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
17.0,256.0,Open Box,869.99,iPhone 17,False,MD,Maryland,Latest (15+),Standard,Open Box
17.0,256.0,Excellent - Refurbished,869.99,iPhone 17,False,MD,Maryland,Latest (15+),Standard,Refurbished
14.0,128.0,Used,370.0,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,128.0,For Parts Or Not Working,192.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,199.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
16.0,128.0,Open Box,634.99,iPhone 16,False,MD,Maryland,Latest (15+),Standard,Open Box
14.0,256.0,For Parts Or Not Working,216.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,194.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,Used,312.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Second-hand
14.0,128.0,For Parts Or Not Working,188.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,Used,274.99,iPhone 14,False,GA,Georgia,Modern (13-14),Standard,Second-hand
14.0,128.0,For Parts Or Not Working,190.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,Used,359.99,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,Second-hand
14.0,128.0,For Parts Or Not Working,196.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,256.0,For Parts Or Not Working,218.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,198.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,512.0,Used,559.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
14.0,256.0,For Parts Or Not Working,208.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,For Parts Or Not Working,196.99,iPhone 14 Plus,False,OH,Ohio,Modern (13-14),Standard,Damaged
14.0,128.0,Open Box,389.99,iPhone 14 Plus,False,CA,California,Modern (13-14),Standard,Open Box
14.0,1024.0,Used,597.99,iPhone 14 Pro Max,True,CA,California,Modern (13-14),Pro,Second-hand
12.0,256.0,Used,195.0,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,Second-hand
14.0,128.0,Used,65.0,iPhone 14,False,KY,Kentucky,Modern (13-14),Standard,Second-hand
13.0,256.0,Used,229.99,iPhone 13 Mini,False,PA,Pennsylvania,Modern (13-14),Standard,Second-hand
17.0,1024.0,New,1000.0,iPhone 17 Pro Max,True,WY,Wyoming,Latest (15+),Pro,New
16.0,128.0,New,699.99,iPhone 16,False,CA,California,Latest (15+),Standard,New
17.0,1024.0,New,956.0,iPhone 17 Pro Max,True,CO,Colorado,Latest (15+),Pro,New
12.0,64.0,Used,299.0,iPhone 12,False,TX,Texas,Mid-Gen (11-12),Standard,Second-hand
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
12.0,512.0,Used,1000.0,iPhone 12 Pro Max,True,TN,Tennessee,Mid-Gen (11-12),Pro,Second-hand
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,64.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
12.0,128.0,Good - Refurbished,309.99,iPhone 12 Pro Max,True,NJ,New Jersey,Mid-Gen (11-12),Pro,Refurbished
14.0,128.0,Very Good - Refurbished,334.99,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,Used,239.99,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,Second-hand
14.0,128.0,Used,319.99,iPhone 14 Plus,False,NJ,New Jersey,Modern (13-14),Standard,Second-hand
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,Excellent - Refurbished,355.0,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
14.0,128.0,New,389.99,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,Excellent - Refurbished,350.0,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
14.0,128.0,New,745.12,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
14.0,128.0,New,745.12,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
13.0,128.0,New,322.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
14.0,128.0,New,745.12,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,New
12.0,128.0,Used,599.99,iPhone 12 Pro Max,True,FL,Florida,Mid-Gen (11-12),Pro,Second-hand
17.0,256.0,New,879.0,iPhone 17,False,NH,New Hampshire,Latest (15+),Standard,New
16.0,128.0,Good - Refurbished,549.99,iPhone 16,False,NJ,New Jersey,Latest (15+),Standard,Refurbished
12.0,64.0,Very Good - Refurbished,259.99,iPhone 12,False,CA,California,Mid-Gen (11-12),Standard,Refurbished
14.0,128.0,Used,399.99,iPhone 14 Pro Max,True,NJ,New Jersey,Modern (13-14),Pro,Second-hand
14.0,128.0,Used,229.99,iPhone 14,False,NJ,New Jersey,Modern (13-14),Standard,Second-hand
17.0,256.0,Excellent - Refurbished,799.99,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
12.0,128.0,Used,185.0,iPhone 12,False,FL,Florida,Mid-Gen (11-12),Standard,Second-hand
14.0,128.0,Used,245.99,iPhone 14,False,MI,Michigan,Modern (13-14),Standard,Second-hand
17.0,256.0,Very Good - Refurbished,764.99,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
12.0,128.0,Used,169.98,iPhone 12,False,OH,Ohio,Mid-Gen (11-12),Standard,Second-hand
12.0,256.0,Used,210.0,iPhone 12,False,NC,North Carolina,Mid-Gen (11-12),Standard,Second-hand
14.0,128.0,Used,300.0,iPhone 14,False,FL,Florida,Modern (13-14),Standard,Second-hand
12.0,128.0,Used,77.0,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
17.0,256.0,Excellent - Refurbished,749.0,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
17.0,256.0,Excellent - Refurbished,749.0,iPhone 17,False,TX,Texas,Latest (15+),Standard,Refurbished
14.0,128.0,Open Box,317.55,iPhone 14,False,CA,California,Modern (13-14),Standard,Open Box
12.0,128.0,Used,325.0,iPhone 12 Pro Max,True,NC,North Carolina,Mid-Gen (11-12),Pro,Second-hand
12.0,256.0,Used,159.99,iPhone 12,False,NY,New York,Mid-Gen (11-12),Standard,Second-hand
13.0,128.0,Used,264.0,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,Second-hand
13.0,128.0,Very Good - Refurbished,320.0,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
13.0,128.0,Very Good - Refurbished,595.0,iPhone 13,False,NJ,New Jersey,Modern (13-14),Standard,Refurbished
14.0,256.0,Used,700.0,iPhone 14 Plus,False,MI,Michigan,Modern (13-14),Standard,Second-hand
13.0,256.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,New,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,New,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,512.0,New,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,256.0,New,321.01,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,323.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
13.0,128.0,New,335.99,iPhone 13 Mini,False,NJ,New Jersey,Modern (13-14),Standard,New
