rank,filtering_rank,model,original_micro,filtering_micro,original_macro,filtering_macro,n_all,n_filtered,n_dropped,filter_ids_matched,filter_ids_total
1,1,o4-mini-high,0.9022556390977443,0.9196850393700787,0.8699999999999999,0.887912087912088,665,635,30,13,13
2,2,DeepSeek-V3.2-Exp-thinking-on,0.8977443609022556,0.9118110236220472,0.8640000000000001,0.876923076923077,665,635,30,13,13
3,3,gemini-2.5-pro-thinking-on,0.8932330827067669,0.9102362204724409,0.858,0.8747252747252748,665,635,30,13,13
4,4,gpt-4.1,0.8917293233082707,0.9070866141732283,0.8560000000000001,0.8703296703296705,665,635,30,13,13
5,5,Kimi-K2-Instruct-0905,0.8827067669172932,0.8944881889763779,0.8440000000000001,0.8527472527472527,665,635,30,13,13
6,6,gemini-2.5-flash-thinking-on,0.8631578947368421,0.878740157480315,0.818,0.8307692307692307,665,635,30,13,13
7,9,Kimi-K2-Instruct,0.8601503759398497,0.8692913385826772,0.8140000000000001,0.8175824175824176,665,635,30,13,13
8,7,DeepSeek-V3.2-Exp-thinking-off,0.8586466165413534,0.8724409448818897,0.812,0.8219780219780219,665,635,30,13,13
9,8,Qwen3-235B-A22B-Thinking-2507-FP8,0.8571428571428571,0.8708661417322835,0.8099999999999999,0.8197802197802198,665,635,30,13,13
10,10,o3-high,0.8511278195488722,0.8614173228346457,0.8019999999999999,0.8065934065934066,665,635,30,13,13
11,11,Qwen3-235B-A22B-Instruct-2507-FP8,0.8345864661654135,0.8456692913385827,0.78,0.7846153846153847,665,635,30,13,13
12,12,gemini-2.5-flash-thinking-off,0.8300751879699249,0.84251968503937,0.774,0.7802197802197803,665,635,30,13,13
13,13,DeepSeek-R1-0528,0.8195488721804511,0.8346456692913385,0.76,0.7692307692307693,665,635,30,13,13
14,14,Qwen3-Coder-480B-A35B-Instruct-FP8,0.8105263157894737,0.8236220472440945,0.748,0.7538461538461538,665,635,30,13,13
15,15,gpt-4.1-mini,0.7954887218045112,0.8078740157480315,0.728,0.7318681318681318,665,635,30,13,13
16,16,claude-4.5-sonnet-thinking-on-10k,0.7879699248120301,0.8062992125984252,0.718,0.7296703296703296,665,635,30,13,13
17,18,claude-4-sonnet-thinking-off,0.7819548872180451,0.7968503937007874,0.71,0.7164835164835164,665,635,30,13,13
18,17,claude-4-sonnet-thinking-on-10k,0.7819548872180451,0.7984251968503937,0.71,0.7186813186813187,665,635,30,13,13
19,19,claude-4-opus-thinking-off,0.7669172932330827,0.7811023622047244,0.6900000000000001,0.6945054945054945,665,635,30,13,13
20,20,claude-4.5-sonnet-thinking-off,0.762406015037594,0.7763779527559055,0.6839999999999999,0.6879120879120879,665,635,30,13,13
21,21,Qwen3-235B-A22B-FP8,0.7578947368421053,0.7700787401574803,0.678,0.6791208791208792,665,635,30,13,13
22,22,DeepSeek-V3-0324,0.7488721804511278,0.7637795275590551,0.666,0.6703296703296704,665,635,30,13,13
23,23,gpt-4o-20240806,0.7473684210526316,0.7590551181102362,0.664,0.6637362637362637,665,635,30,13,13
24,24,gpt-oss-120b,0.7293233082706767,0.7448818897637796,0.64,0.643956043956044,665,635,30,13,13
25,25,gpt-5-nano,0.7218045112781954,0.7354330708661417,0.63,0.6307692307692307,665,635,30,13,13
26,26,gpt-oss-20b,0.7172932330827068,0.7307086614173228,0.624,0.6241758241758242,665,635,30,13,13
27,27,gpt-4o-mini,0.7142857142857143,0.7259842519685039,0.62,0.6175824175824175,665,635,30,13,13
28,28,gpt-4.1-nano,0.7097744360902256,0.7244094488188977,0.6140000000000001,0.6153846153846153,665,635,30,13,13
29,29,gpt-5,0.706766917293233,0.721259842519685,0.61,0.6109890109890109,665,635,30,13,13
30,30,claude-4-opus-thinking-on-10k,0.7022556390977444,0.7165354330708661,0.604,0.6043956043956044,665,635,30,13,13
