rank,filtering_rank,model,original_micro,filtering_micro,original_macro,filtering_macro,n_all,n_filtered,n_dropped,filter_ids_matched,filter_ids_total
1,1,o3-high,0.54625,0.6070878274268104,0.5462500000000001,0.6087194817580991,800,649,151,151,151
2,3,gpt-4.1,0.495,0.5439137134052389,0.495,0.5469018104142592,800,649,151,151,151
3,2,o4-mini-high,0.4875,0.5454545454545454,0.48750000000000004,0.5457409618036354,800,649,151,151,151
4,4,DeepSeek-V3.2-Exp-thinking-on,0.46625,0.5161787365177196,0.46624999999999994,0.518723889526475,800,649,151,151,151
5,5,gpt-4o-20240806,0.44125,0.5069337442218799,0.44125000000000003,0.5100263722802657,800,649,151,151,151
6,6,gpt-4.1-mini,0.4325,0.4761171032357473,0.4325,0.47693854264328017,800,649,151,151,151
7,7,Kimi-K2-Instruct,0.4075,0.4560862865947612,0.40750000000000003,0.4559242983744527,800,649,151,151,151
8,8,Kimi-K2-Instruct-0905,0.375,0.41910631741140214,0.375,0.42018220675497725,800,649,151,151,151
9,9,Qwen3-235B-A22B-Instruct-2507-FP8,0.3725,0.41448382126348227,0.37249999999999994,0.41819181481459455,800,649,151,151,151
10,10,DeepSeek-V3.2-Exp-thinking-off,0.34625,0.3975346687211094,0.34625,0.40057232440118107,800,649,151,151,151
11,12,Qwen3-235B-A22B-FP8,0.33125,0.37442218798151,0.33125,0.3747152129042147,800,649,151,151,151
12,11,Qwen3-Coder-480B-A35B-Instruct-FP8,0.33125,0.3790446841294299,0.33125,0.382781503362028,800,649,151,151,151
13,13,gemini-2.5-pro-thinking-on,0.305,0.34514637904468415,0.305,0.34489424824630777,800,649,151,151,151
14,15,DeepSeek-V3-0324,0.295,0.3220338983050847,0.29500000000000004,0.3243733073409619,800,649,151,151,151
15,14,gpt-4o-mini,0.28875,0.3266563944530046,0.28875,0.3288935204731219,800,649,151,151,151
16,16,gemini-2.5-flash-thinking-off,0.27,0.3020030816640986,0.27,0.3038185049959664,800,649,151,151,151
17,17,gpt-5,0.26875,0.3020030816640986,0.26875,0.30319202706800896,800,649,151,151,151
18,18,Qwen3-235B-A22B-Thinking-2507-FP8,0.18,0.20184899845916796,0.18,0.20133258392186168,800,649,151,151,151
19,19,gpt-4.1-nano,0.1175,0.1325115562403698,0.1175,0.1327776629792385,800,649,151,151,151
20,20,gpt-5-nano,0.01125,0.012326656394453005,0.011250000000000001,0.012575168266578396,800,649,151,151,151
