"id","id_nm_parent","code","libelle_ar","libelle_fr","libelle_en","ordre","dt_maj","dt_delete"
"968","6","0510","المطوية","Metouia","Metouia","10","2022-10-07",
"971","8","0706","جنوب جندوبة","Jendouba Sud","Jendouba Sud","6","2022-10-07",
"977","7","0608","مدهيلا","Mdhilla","Mdhilla","8","2022-10-07",
"982","8","0708","فرنانا","Fernana","Fernana","8","2022-10-07",
"986","9","083","بوحجلة","Bouhajla","Bouhajla","3","2022-10-07",
"991","9","0808","شراردة","Chrarda","Chrarda","8","2022-10-07",
"995","9","0810","الوسلاتية","Oueslatia","Oueslatia","10","2022-10-07",
"1001","10","0908","جيدليان","Jedeliane","Jedeliane","8","2022-10-07",
"1007","11","1004","الفوار","Faouar","Faouar","4","2022-10-07",
"1011","13","1203","ولاد شامخ","Ouled Chamekh","Ouled Chamekh","3","2022-10-07",
"967","24","2314","المنزه","El Menzah","El Menzah","14","2022-10-07",
"916","12","1101","قلعة خسبا","Kalaa Khesba","Kalaa Khesba","1","2022-11-25",
"2",,"01","اريانة","Ariana","Ariana","1","2022-10-07",
"901","25","2401","زريبا","Zriba","Zriba","1","2022-10-17","2022-10-17"
"934","25","2402","بير مشارقا","Bir Mchergua","Bir Mchergua","2","2022-10-17","2022-10-17"
"1021","25","2404","زغوان","Zaghouan","Zaghouan","4","2022-10-17","2022-10-17"
"8",,"07","جندوبة","Jendouba","Jendouba","7","2022-10-07",
"9",,"08","القيروان","Kairouan","Kairouan","8","2022-10-07",
"10",,"09","القصرين","Kasserine","Kasserine","9","2022-10-07",
"11",,"10","قبلي","Kebilli","Kebilli","10","2022-10-07",
"13",,"12","المهدية","Mahdia","Mahdia","12","2022-10-07",
"14",,"13","منوبة","Manouba","Manouba","13","2022-10-07",
"15",,"14","مدنين","Medenine","Medenine","14","2022-10-07",
"16",,"15","المنستير","Monastir","Monastir","15","2022-10-07",
"17",,"16","نابل","Nabeul","Nabeul","16","2022-10-07",
"18",,"17","صفاقس","Sfax","Sfax","17","2022-10-07",
"21",,"20","سوسة","Sousse","Sousse","20","2022-10-07",
"20",,"19","سليانة","Siliana","Siliana","19","2022-10-07",
"839","11","1001","دوز الشمالية","Douz Nord","Douz Nord","1","2022-10-07",
"843","2","0101","سبخة أريانة","Sebkhet Ariana","Sebkhet Ariana","1","2022-10-07",
"845","20","1901","روحية","Rouhia","Rouhia","1","2022-10-07",
"846","21","2003","النفيضة","Enfidha","Enfidha","3","2022-10-07",
"847","3","0201","نفزا","Nefza","Nefza","1","2022-10-07",
"848","2","0102","أريانة مدينا","Ariana Médina","Ariana Médina","2","2022-10-07",
"849","2","0103","التضامن","Ettadhamen","Ettadhamen","3","2022-10-07",
"850","2","0104","قلعة الأندلس","Kalaat El Andalous","Kalaat El Andalous","4","2022-10-07",
"851","24","2301","باب سويقة","Bab Souika","Bab Souika","1","2022-10-07",
"852","24","2302","باردو","Bardo","Bardo","2","2022-10-07",
"853","4","0301","بن عروس","Ben Arous","Ben Arous","1","2022-10-07",
"854","4","0302","بومهل","Boumhel","Boumhel","2","2022-10-07",
"855","20","1902","شمال سليانة","Siliana Nord","Siliana Nord","2","2022-10-07",
"856","4","0303","المروج","El Mourouj","El Mourouj","3","2022-10-07",
"857","6","0501","مارث","Mareth","Mareth","1","2022-10-07",
