"id"|"code"|"libelle_ar"|"libelle_fr"|"libelle_en"|"ordre"|"dt_maj"|"id_parent"|"dt_delete"
"82"|"155"|"مجالات أخرى"|"Autres domaines"||"5"|"2023-01-30"|"77"|
"83"|"16"|"تكنولوجيات المعلومات والاتصال "|"Technologies d'Information et de Communication"||"16"|"2023-01-30"||
"84"|"161"|"تقنيات الاتصالات"|"Technologies des télécommunications"||"1"|"2023-01-30"|"83"|
"85"|"162"|"علوم الكومبيوتر"|"Informatique"||"2"|"2023-01-30"|"83"|
"86"|"163"|"البنية التحتية التكنولوجية"|"Infrastructure technologique"||"3"|"2023-01-30"|"83"|
"87"|"164"|"الاتصال"|"Connectivité"||"4"|"2023-01-30"|"83"|
"61"|"112"|"اقتناء الأدوية والمعدات الطبية"|"Acquisition des médicaments et matériels médicals"||"2"|"2023-01-30"|"59"|
"14"|"021"|"مياه الشرب الريفية"|"Eau potable rurale"||"1"|"2023-01-30"|"13"|
"56"|"102"|"تعليم ابتدائي"|"Education primaire"||"2"|"2023-01-30"|"54"|
"37"|"062"|"الجسور"|"Ponts"||"1"|"2023-01-30"|"36"|
"2"|"011"|"التنمية الزراعية والريفية"|"Développement Agricole & Rural"||"1"|"2023-01-30"|"1"|
"3"|"012"|"الغابات والمراعي وتنمية الأراضي الزراعية"|"Forêts, Parcours & Aménagement des terres agricoles"||"2"|"2023-01-30"|"1"|
"31"|"051"|"مواصلات برية"|"Transport terrestre"||"1"|"2023-01-30"|"30"|
"4"|"013"|"صيد السمك"|"Pêche"||"3"|"2023-01-30"|"1"|
"5"|"014"|"المحيطات المروية والتطوير الهيدروليكي"|"Périmètres Irrigués & Aménagement Hydraulique"||"4"|"2023-01-30"|"1"|
"6"|"015"|"القطاعات الزراعية وقنوات التوزيع"|"Filières agricoles & Circuits de distribution"||"5"|"2023-01-30"|"1"|
"80"|"153"|"خطوط التمويل"|"Lignes de financement"||"3"|"2023-01-30"|"77"|
"81"|"154"|"دعم القطاع الخاص"|"Appui au secteur privé"||"4"|"2023-01-30"|"77"|
"7"|"016"|"الخدمات الزراعية (صحة الحيوان والنبات ، التدريب والإرشاد ، تمويل القروض الصغيرة ، الرقمنة)"|"Services agricoles (santé animale et végétale, formation et vulgarisation, financement de microcrédit, digitalisation)"||"6"|"2023-01-30"|"1"|
"8"|"017"|"البنية التحتية الزراعية"|"infrastructure agricole"||"7"|"2023-01-30"|"1"|
"9"|"018"|"إنتاج زراعي"|"Production agricole"||"8"|"2023-01-30"|"1"|
"10"|"019"|"سلامة الغذاء"|"Sécurité alimentaire"||"9"|"2023-01-30"|"1"|
"11"|"0110"|"البحث والتطوير الزراعي"|"Recherche et développement en matière agricole"||"10"|"2023-01-30"|"1"|
"12"|"0111"|"مجالات أخرى"|"Autres domaines"||"11"|"2023-01-30"|"1"|
"13"|"02"|"ماء صالح للشرب"|"Eau potable"||"200"|"2023-05-05"||
"15"|"022"|"مياه الشرب الحضرية"|"Eau potable urbaine"||"2"|"2023-01-30"|"13"|
"16"|"023"|"تخزين ونقل المياه"|"Stockage & transfert des eaux"||"3"|"2023-01-30"|"13"|
"17"|"024"|"الإدارة المتكاملة للموارد المائية"|"Gestion intégrée des ressources en eau"||"4"|"2023-01-30"|"13"|
"18"|"025"|"جودة المياه"|"Qualité de l'eau"||"5"|"2023-01-30"|"13"|
"19"|"026"|"إدارة المياه"|"Gouvernance de l’eau"||"6"|"2023-01-30"|"13"|
"20"|"027"|"مجالات أخرى"|"Autres domaines"||"7"|"2023-01-30"|"13"|
"22"|"031"|"الطاقة المتجددة (الإنتاج والتوزيع)"|"Energie renouvelable (production et distribution)"||"1"|"2023-01-30"|"21"|
"23"|"032"|"الطاقة غير المتجددة (الإنتاج والتوزيع)"|"Energie non renouvelable (production et distribution)"||"2"|"2023-01-30"|"21"|
"24"|"033"|"التعدين"|"Mines"||"3"|"2023-01-30"|"21"|
"25"|"034"|"مجالات أخرى"|"Autres domaines"||"4"|"2023-01-30"|"21"|
"27"|"041"|"الأقطاب التكنولوجية"|"Poles technologiques"||"1"|"2023-01-30"|"26"|
"28"|"042"|"المناطق الصناعية (البناء والتطوير)"|"Zones industrielles (construction et aménagement)"||"2"|"2023-01-30"|"26"|
