photo_record_id,photo_job_id,series_id,brand_id,brand_name,series_name,photo_scope,photo_type,source_name,source_record_id,source_rank,image_url,image_host,content_type,content_length,image_width,image_height,validation_status,validation_error,local_path,source_url,evidence_json,crawled_at
4a496939e5bdd0b434673b9d,562f251162b01aba11019a82,3,114,ALPINA,ALPINA B4,series,usedcar_series_cover,dongchedi_usedcar_series,3,1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/22b9b513bfdf418ebed4863fec3e7079~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p3-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p3-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p3-dcd.byteimg.com/tos-cn-i-dcdx/22b9b513bfdf418ebed4863fec3e7079~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""3"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:45+08:00
cfd823d7ea727741d576d674,71b9515013e4888be157ec11,5,55,DS,DS 4S,series,usedcar_series_cover,dongchedi_usedcar_series,5,1,https://p9-dcd.byteimg.com/motor-mis-img/b30da77db160cbbbe949275f52fdccb3~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p9-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p9-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p9-dcd.byteimg.com/motor-mis-img/b30da77db160cbbbe949275f52fdccb3~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""5"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:46+08:00
5de020fc304999a407a98812,2b1c31dc911feff1076e80e0,6,55,DS,DS 5,series,usedcar_series_cover,dongchedi_usedcar_series,6,1,https://p9-dcd.byteimg.com/motor-mis-img/7001b6ad12d179bcb4f60c62ce50e377~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p9-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p9-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p9-dcd.byteimg.com/motor-mis-img/7001b6ad12d179bcb4f60c62ce50e377~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""6"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:48+08:00
5adfea0f6a190c11a0cb7753,762fb27ce822574915a281ee,7,55,DS,DS 6,series,usedcar_series_cover,dongchedi_usedcar_series,7,1,https://p9-dcd.byteimg.com/motor-mis-img/3c18db6aa8a71c0c323197956ca8b81e~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p9-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p9-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p9-dcd.byteimg.com/motor-mis-img/3c18db6aa8a71c0c323197956ca8b81e~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""7"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:49+08:00
5667c3c5c0db381f02eb1134,143a3614e331dab6998ae3a1,9,96,GMC,YUKON育空,series,usedcar_series_cover,dongchedi_usedcar_series,9,1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/079029e0dd8d4ec9b315d887ced4944f~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p3-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p3-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p3-dcd.byteimg.com/tos-cn-i-dcdx/079029e0dd8d4ec9b315d887ced4944f~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""9"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:51+08:00
2c49462605a491f8acee75b1,e71e38af71445541fde0c812,10,96,GMC,SAVANA,series,usedcar_series_cover,dongchedi_usedcar_series,10,1,https://p3-dcd.byteimg.com/motor-mis-img/f6fee64aaad919d623e6ba7d84fa9375~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p3-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p3-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p3-dcd.byteimg.com/motor-mis-img/f6fee64aaad919d623e6ba7d84fa9375~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""10"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:52+08:00
e180f821aa78d54b16740a72,030148ceb5f598914e9ef5c0,12,14,Jeep,自由客,series,usedcar_series_cover,dongchedi_usedcar_series,12,1,https://p3-dcd.byteimg.com/motor-mis-img/7ddd3875507e0d0422cf7aa4f15a2579~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p3-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p3-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p3-dcd.byteimg.com/motor-mis-img/7ddd3875507e0d0422cf7aa4f15a2579~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""12"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:53+08:00
eec04a44f447846dd0552e73,48686eddc6f940dae54342dc,13,14,Jeep,指南者(进口),series,usedcar_series_cover,dongchedi_usedcar_series,13,1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5193721fe59b4bf582af6d5c235a319f~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p3-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p3-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5193721fe59b4bf582af6d5c235a319f~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""13"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:55+08:00
05aaab4732a73010183f6d4c,259aa7689dc565dc4cc9284a,14,14,Jeep,牧马人,series,usedcar_series_cover,dongchedi_usedcar_series,14,1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1328d788cd794a69a5ba4b84501886f8~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p3-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p3-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1328d788cd794a69a5ba4b84501886f8~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""14"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:56+08:00
8c099dc58b41a8896ee31ae8,3c43290701835708a8168f5d,15,14,Jeep,自由光(进口),series,usedcar_series_cover,dongchedi_usedcar_series,15,1,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c684d647fb50485d89d8455955ed3bbd~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api,p3-dcd.byteimg.com,,,,,failed,<HTTPError 400: 'Bad Request'>,,https://www.dongchedi.com/sales/city-x-x-x-x,"{""image_host"": ""p3-dcd.byteimg.com"", ""image_role"": ""usedcar_series_cover"", ""image_url"": ""https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c684d647fb50485d89d8455955ed3bbd~tplv-f042mdwyw7-original:tplv-resize:640:0.image?psm=motor.pc_sh.api"", ""source_name"": ""dongchedi_usedcar_series"", ""source_record_id"": ""15"", ""source_url"": ""https://www.dongchedi.com/sales/city-x-x-x-x""}",2026-07-08T20:18:57+08:00
